kind,spacing,width,height,origin,erasers,cold_pan_median_us,cold_pan_p95_us,warm_pan_median_us,warm_pan_p95_us,png_median_us,png_p95_us,png_bytes,surface_bytes_proxy
None,8,1920,1080,0,0,2964,3295,169,865,31442,31860,33424,32075776
None,8,1920,1080,0,20,3408,3555,156,280,48536,48890,72712,32075776
None,8,1920,1080,0,200,6632,6768,241,352,56368,57102,189182,32075776
None,40,1920,1080,0,0,2609,2789,249,356,31385,31622,33424,32075776
None,40,1920,1080,0,20,3053,3156,279,399,47974,48035,72712,32075776
None,40,1920,1080,0,200,6481,6835,177,304,56138,56266,189182,32075776
Cartesian,8,1920,1080,0,0,3526,3597,170,198,37480,37686,80088,32075776
Cartesian,8,1920,1080,0,20,4363,4460,175,444,57646,58335,134441,32075776
Cartesian,8,1920,1080,0,200,11369,11996,336,405,80644,80964,376164,32075776
Cartesian,40,1920,1080,0,0,3447,3643,170,332,34651,34730,53224,32075776
Cartesian,40,1920,1080,0,20,4227,4348,167,303,53276,56684,102884,32075776
Cartesian,40,1920,1080,0,200,10951,11751,382,494,69904,70669,265083,32075776
Isometric,8,1920,1080,0,0,7144,16695,703,841,134973,172560,1017818,32075776
Isometric,8,1920,1080,0,20,8211,15019,340,759,200823,222206,1166903,32075776
Isometric,8,1920,1080,0,200,24842,42471,673,756,248711,305444,1268264,32075776
Isometric,40,1920,1080,0,0,7181,9508,571,597,74132,88345,672389,32075776
Isometric,40,1920,1080,0,20,8527,8771,563,569,104521,105079,804536,32075776
Isometric,40,1920,1080,0,200,19392,19791,351,467,123284,123768,932535,32075776
IsometricDots,8,1920,1080,0,0,6195,6222,202,303,57517,57873,419974,32075776
IsometricDots,8,1920,1080,0,20,8088,9074,371,832,88225,93938,557246,32075776
IsometricDots,8,1920,1080,0,200,22666,25426,383,580,114643,119364,713126,32075776
IsometricDots,40,1920,1080,0,0,6181,6336,353,436,36239,38479,85049,32075776
IsometricDots,40,1920,1080,0,20,7502,7723,371,412,53787,64370,128204,32075776
