source,kind,spacing,width,height,erasers,pdf,median_us,p95_us,target_or_pdf_bytes
Solid,Cartesian,8,1920,1080,0,false,1651,2597,8294400
Tile,Cartesian,8,1920,1080,0,false,2109,2119,8294400
Solid,Cartesian,8,1920,1080,0,true,112,130,1540
Tile,Cartesian,8,1920,1080,0,true,136,143,2447
Solid,Cartesian,8,1920,1080,20,false,1997,2036,8294400
Tile,Cartesian,8,1920,1080,20,false,2875,2880,8294400
Solid,Cartesian,8,1920,1080,20,true,54509,54588,157333
Tile,Cartesian,8,1920,1080,20,true,72930,73621,297363
Solid,Cartesian,8,1920,1080,200,false,5479,5510,8294400
Tile,Cartesian,8,1920,1080,200,false,9851,9870,8294400
Solid,Cartesian,8,1920,1080,200,true,570588,571785,2469987
Tile,Cartesian,8,1920,1080,200,true,748253,753232,3642089
Solid,Cartesian,40,1920,1080,0,false,1634,1636,8294400
Tile,Cartesian,40,1920,1080,0,false,2029,2040,8294400
Solid,Cartesian,40,1920,1080,0,true,107,127,1540
Tile,Cartesian,40,1920,1080,0,true,135,150,2451
Solid,Cartesian,40,1920,1080,20,false,2020,2043,8294400
Tile,Cartesian,40,1920,1080,20,false,2704,2737,8294400
Solid,Cartesian,40,1920,1080,20,true,54296,54365,157333
Tile,Cartesian,40,1920,1080,20,true,65218,65378,227906
Solid,Cartesian,40,1920,1080,200,false,5427,5434,8294400
Tile,Cartesian,40,1920,1080,200,false,8778,8786,8294400
Solid,Cartesian,40,1920,1080,200,true,567020,570245,2469987
Tile,Cartesian,40,1920,1080,200,true,710492,716396,3066619
Solid,Isometric,8,1920,1080,0,false,1632,1654,8294400
Tile,Isometric,8,1920,1080,0,false,3293,3307,8294400
Solid,Isometric,8,1920,1080,0,true,106,128,1540
Tile,Isometric,8,1920,1080,0,true,136,153,2526
Solid,Isometric,8,1920,1080,20,false,2021,2064,8294400
Tile,Isometric,8,1920,1080,20,false,4830,4845,8294400
Solid,Isometric,8,1920,1080,20,true,54191,54303,157333
Tile,Isometric,8,1920,1080,20,true,208126,227192,1407502
Solid,Isometric,8,1920,1080,200,false,5414,5486,8294400
Tile,Isometric,8,1920,1080,200,false,18266,20113,8294400
